name,tab,start_time,end_time,path_to_file,parent,gain_db
Ele Fez De Novo - part 3,Felicidade,00:00:16.020,00:00:24.030,sounds/Felicidade/Ele Fez De Novo.mp3,Ele Fez De Novo,-0.2
Ele Fez De Novo - part 4,Felicidade,00:00:24.030,00:00:32.040,sounds/Felicidade/Ele Fez De Novo.mp3,Ele Fez De Novo,0.1
F1 Tema Vitória,Felicidade,00:00:00.000,00:00:11.308,sounds/Felicidade/F1 Tema Vitória.mp3,,-0.6
F1 Tema Vitória - part 1,Felicidade,00:00:00.000,00:00:02.827,sounds/Felicidade/F1 Tema Vitória.mp3,F1 Tema Vitória,-1.9
F1 Tema Vitória - part 2,Felicidade,00:00:02.827,00:00:05.654,sounds/Felicidade/F1 Tema Vitória.mp3,F1 Tema Vitória,-1.6
F1 Tema Vitória - part 3,Felicidade,00:00:05.654,00:00:08.481,sounds/Felicidade/F1 Tema Vitória.mp3,F1 Tema Vitória,-0.6
F1 Tema Vitória - part 4,Felicidade,00:00:08.481,00:00:11.308,sounds/Felicidade/F1 Tema Vitória.mp3,F1 Tema Vitória,-0.6
Faustão - Acertou,Felicidade,00:00:00.000,00:00:01.584,sounds/Felicidade/Faustão - Acertou.mp3,,7.5
Faustão - Acertou - part 1,Felicidade,00:00:00.000,00:00:00.396,sounds/Felicidade/Faustão - Acertou.mp3,Faustão - Acertou,7.5
Faustão - Acertou - part 2,Felicidade,00:00:00.396,00:00:00.792,sounds/Felicidade/Faustão - Acertou.mp3,Faustão - Acertou,7.5
Faustão - Acertou - part 3,Felicidade,00:00:00.792,00:00:01.188,sounds/Felicidade/Faustão - Acertou.mp3,Faustão - Acertou,7.5
Faustão - Acertou - part 4,Felicidade,00:00:01.188,00:00:01.584,sounds/Felicidade/Faustão - Acertou.mp3,Faustão - Acertou,7.5
GTA SA Mission Passed,Felicidade,00:00:00.000,00:00:07.472,sounds/Felicidade/GTA SA Mission Passed.mp3,,1.1
GTA SA Mission Passed - part 1,Felicidade,00:00:00.000,00:00:01.868,sounds/Felicidade/GTA SA Mission Passed.mp3,GTA SA Mission Passed,0.9
GTA SA Mission Passed - part 2,Felicidade,00:00:01.868,00:00:03.736,sounds/Felicidade/GTA SA Mission Passed.mp3,GTA SA Mission Passed,0.8
GTA SA Mission Passed - part 3,Felicidade,00:00:03.736,00:00:05.604,sounds/Felicidade/GTA SA Mission Passed.mp3,GTA SA Mission Passed,1.1
GTA SA Mission Passed - part 4,Felicidade,00:00:05.604,00:00:07.472,sounds/Felicidade/GTA SA Mission Passed.mp3,GTA SA Mission Passed,1.1
Galvão - O Homem é uma Lenda,Felicidade,00:00:00.000,00:00:04.350,sounds/Felicidade/Galvão - O Homem é uma Lenda.mp3,,7.6
Giornos Theme,Felicidade,00:00:00.000,00:00:30.000,sounds/Felicidade/Giornos Theme.mp3,,-1.7
Giornos Theme - part 1,Felicidade,00:00:00.000,00:00:07.500,sounds/Felicidade/Giornos Theme.mp3,Giornos Theme,3.6
Giornos Theme - part 2,Felicidade,00:00:07.500,00:00:15.000,sounds/Felicidade/Giornos Theme.mp3,Giornos Theme,-0.2
Giornos Theme - part 3,Felicidade,00:00:15.000,00:00:22.500,sounds/Felicidade/Giornos Theme.mp3,Giornos Theme,-1.3
Giornos Theme - part 4,Felicidade,00:00:22.500,00:00:30.000,sounds/Felicidade/Giornos Theme.mp3,Giornos Theme,-1.7
Musica - Somebody Use to Know,Felicidade,00:00:00.000,00:00:18.924,sounds/Felicidade/Musica - Somebody Use to Know.mp3,,-5.0
Musica - Somebody Use to Know - part 1,Felicidade,00:00:00.000,00:00:04.731,sounds/Felicidade/Musica - Somebody Use to Know.mp3,Musica - Somebody Use to Know,-6.1
Musica - Somebody Use to Know - part 2,Felicidade,00:00:04.731,00:00:09.462,sounds/Felicidade/Musica - Somebody Use to Know.mp3,Musica - Somebody Use to Know,-5.8
Musica - Somebody Use to Know - part 3,Felicidade,00:00:09.462,00:00:14.193,sounds/Felicidade/Musica - Somebody Use to Know.mp3,Musica - Somebody Use to Know,-5.6
Musica - Somebody Use to Know - part 4,Felicidade,00:00:14.193,00:00:18.924,sounds/Felicidade/Musica - Somebody Use to Know.mp3,Musica - Somebody Use to Know,-5.0
O Miseravel é Um Genio,Felicidade,00:00:00.000,00:00:01.885,sounds/Felicidade/O Miseravel é Um Genio.mp3,,1.0
O Miseravel é Um Genio - part 1,Felicidade,00:00:00.000,00:00:00.471,sounds/Felicidade/O Miseravel é Um Genio.mp3,O Miseravel é Um Genio,1.0
O Miseravel é Um Genio - part 2,Felicidade,00:00:00.471,00:00:00.943,sounds/Felicidade/O Miseravel é Um Genio.mp3,O Miseravel é Um Genio,1.0
O Miseravel é Um Genio - part 3,Felicidade,00:00:00.943,00:00:01.414,sounds/Felicidade/O Miseravel é Um Genio.mp3,O Miseravel é Um Genio,1.0
O Miseravel é Um Genio - part 4,Felicidade,00:00:01.414,00:00:01.885,sounds/Felicidade/O Miseravel é Um Genio.mp3,O Miseravel é Um Genio,1.0
Obrigado Amigo Vc É Um Amigo,Felicidade,00:00:00.000,00:00:02.561,sounds/Felicidade/Obrigado Amigo Vc É Um Amigo.mp3,,-1.6
Quem Fez Fez,Felicidade,00:00:00.000,00:00:05.400,sounds/Felicidade/Quem Fez Fez.mp3,,0.9
Quem Fez Fez - word 1,Felicidade,00:00:00.000,00:00:00.260,sounds/Felicidade/Quem Fez Fez.mp3,Quem Fez Fez,-0.3
Quem Fez Fez - word 2,Felicidade,00:00:00.460,00:00:01.720,sounds/Felicidade/Quem Fez Fez.mp3,Quem Fez Fez,0.3
Quem Fez Fez - word 3,Felicidade,00:00:01.760,00:00:03.500,sounds/Felicidade/Quem Fez Fez.mp3,Quem Fez Fez,0.9
Quem Fez Fez - word 4,Felicidade,00:00:03.640,00:00:05.400,sounds/Felicidade/Quem Fez Fez.mp3,Quem Fez Fez,0.9
Serjao - Aqui Tem Corage,Felicidade,00:00:00.000,00:00:01.250,sounds/Felicidade/Serjao - Aqui Tem Corage.mp3,,0.1
Serjao - Aqui Tem Corage - part 1,Felicidade,00:00:00.000,00:00:00.312,sounds/Felicidade/Serjao - Aqui Tem Corage.mp3,Serjao - Aqui Tem Corage,0.1
Serjao - Aqui Tem Corage - part 2,Felicidade,00:00:00.312,00:00:00.625,sounds/Felicidade/Serjao - Aqui Tem Corage.mp3,Serjao - Aqui Tem Corage,0.1
Serjao - Aqui Tem Corage - part 3,Felicidade,00:00:00.625,00:00:00.938,sounds/Felicidade/Serjao - Aqui Tem Corage.mp3,Serjao - Aqui Tem Corage,0.1
Serjao - Aqui Tem Corage - part 4,Felicidade,00:00:00.938,00:00:01.250,sounds/Felicidade/Serjao - Aqui Tem Corage.mp3,Serjao - Aqui Tem Corage,0.1
Serjao - Verdade Nao Minto,Felicidade,00:00:00.000,00:00:02.470,sounds/Felicidade/Serjao - Verdade Nao Minto.mp3,,1.4
Smzinho - Bicho E Bom Mesmo,Felicidade,00:00:00.000,00:00:04.656,sounds/Felicidade/Smzinho - Bicho E Bom Mesmo.mp3,,-1.9
Smzinho - Bicho E Bom Mesmo - word 1,Felicidade,00:00:00.000,00:00:00.200,sounds/Felicidade/Smzinho - Bicho E Bom Mesmo.mp3,Smzinho - Bicho E Bom Mesmo,-1.6
Smzinho - Bicho E Bom Mesmo - word 2,Felicidade,00:00:00.360,00:00:03.760,sounds/Felicidade/Smzinho - Bicho E Bom Mesmo.mp3,Smzinho - Bicho E Bom Mesmo,-1.9
Smzinho - Bicho E Bom Mesmo - word 3,Felicidade,00:00:04.140,00:00:04.656,sounds/Felicidade/Smzinho - Bicho E Bom Mesmo.mp3,Smzinho - Bicho E Bom Mesmo,-1.9
Smzinho - Meu Heroi Nao Usa Capa,Felicidade,00:00:00.000,00:00:04.992,sounds/Felicidade/Smzinho - Meu Heroi Nao Usa Capa.mp3,,-3.2
Smzinho - Meu Heroi Nao Usa Capa - word 1,Felicidade,00:00:00.180,00:00:01.140,sounds/Felicidade/Smzinho - Meu Heroi Nao Usa Capa.mp3,Smzinho - Meu Heroi Nao Usa Capa,-2.9
Smzinho - Meu Heroi Nao Usa Capa - word 2,Felicidade,00:00:01.400,00:00:04.900,sounds/Felicidade/Smzinho - Meu Heroi Nao Usa Capa.mp3,Smzinho - Meu Heroi Nao Usa Capa,-3.2
Smzinho - Peguei o Esquema,Felicidade,00:00:00.000,00:00:13.610,sounds/Felicidade/Smzinho - Peguei o Esquema.mp3,,-12.0
Smzinho - Peguei o Esquema - part 1,Felicidade,00:00:00.000,00:00:03.402,sounds/Felicidade/Smzinho - Peguei o Esquema.mp3,Smzinho - Peguei o Esquema,-12.0
Smzinho - Peguei o Esquema - part 2,Felicidade,00:00:03.402,00:00:06.805,sounds/Felicidade/Smzinho - Peguei o Esquema.mp3,Smzinho - Peguei o Esquema,-12.0
Smzinho - Peguei o Esquema - part 3,Felicidade,00:00:06.805,00:00:10.207,sounds/Felicidade/Smzinho - Peguei o Esquema.mp3,Smzinho - Peguei o Esquema,-12.0
Smzinho - Peguei o Esquema - part 4,Felicidade,00:00:10.207,00:00:13.610,sounds/Felicidade/Smzinho - Peguei o Esquema.mp3,Smzinho - Peguei o Esquema,-12.0
Terminator 2 Theme,Felicidade,00:00:00.000,00:00:06.661,sounds/Felicidade/Terminator 2 Theme.mp3,,1.6
Terminator 2 Theme - part 1,Felicidade,00:00:00.000,00:00:01.665,sounds/Felicidade/Terminator 2 Theme.mp3,Terminator 2 Theme,1.8
Terminator 2 Theme - part 2,Felicidade,00:00:01.665,00:00:03.330,sounds/Felicidade/Terminator 2 Theme.mp3,Terminator 2 Theme,1.7
Terminator 2 Theme - part 3,Felicidade,00:00:03.330,00:00:04.996,sounds/Felicidade/Terminator 2 Theme.mp3,Terminator 2 Theme,1.6
Terminator 2 Theme - part 4,Felicidade,00:00:04.996,00:00:06.661,sounds/Felicidade/Terminator 2 Theme.mp3,Terminator 2 Theme,1.6
UEPA,Felicidade,00:00:00.000,00:00:01.985,sounds/Felicidade/UEPA.mp3,,-1.2
UEPA - part 1,Felicidade,00:00:00.000,00:00:00.496,sounds/Felicidade/UEPA.mp3,UEPA,-1.2
UEPA - part 2,Felicidade,00:00:00.496,00:00:00.993,sounds/Felicidade/UEPA.mp3,UEPA,-1.2
UEPA - part 3,Felicidade,00:00:00.993,00:00:01.489,sounds/Felicidade/UEPA.mp3,UEPA,-1.2
UEPA - part 4,Felicidade,00:00:01.489,00:00:01.985,sounds/Felicidade/UEPA.mp3,UEPA,-1.2
Uhhhhhh Yeah Baby,Felicidade,00:00:00.000,00:00:07.140,sounds/Felicidade/Uhhhhhh Yeah Baby.mp3,,-4.4
Uhhhhhh Yeah Baby - part 1,Felicidade,00:00:00.000,00:00:01.785,sounds/Felicidade/Uhhhhhh Yeah Baby.mp3,Uhhhhhh Yeah Baby,-5.3
Uhhhhhh Yeah Baby - part 2,Felicidade,00:00:01.785,00:00:03.570,sounds/Felicidade/Uhhhhhh Yeah Baby.mp3,Uhhhhhh Yeah Baby,-4.4
Uhhhhhh Yeah Baby - part 3,Felicidade,00:00:03.570,00:00:05.355,sounds/Felicidade/Uhhhhhh Yeah Baby.mp3,Uhhhhhh Yeah Baby,-4.4
Uhhhhhh Yeah Baby - part 4,Felicidade,00:00:05.355,00:00:07.140,sounds/Felicidade/Uhhhhhh Yeah Baby.mp3,Uhhhhhh Yeah Baby,-4.4
Vai Perde Vai Ganhar,Felicidade,00:00:00.000,00:00:14.186,sounds/Felicidade/Vai Perde Vai Ganhar.mp3,,2.4
Vai Perde Vai Ganhar - part 1,Felicidade,00:00:00.000,00:00:03.546,sounds/Felicidade/Vai Perde Vai Ganhar.mp3,Vai Perde Vai Ganhar,1.5
Vai Perde Vai Ganhar - part 2,Felicidade,00:00:03.546,00:00:07.093,sounds/Felicidade/Vai Perde Vai Ganhar.mp3,Vai Perde Vai Ganhar,1.5
Vai Perde Vai Ganhar - part 3,Felicidade,00:00:07.093,00:00:10.639,sounds/Felicidade/Vai Perde Vai Ganhar.mp3,Vai Perde Vai Ganhar,1.9
Vai Perde Vai Ganhar - part 4,Felicidade,00:00:10.639,00:00:14.186,sounds/Felicidade/Vai Perde Vai Ganhar.mp3,Vai Perde Vai Ganhar,2.4
Yayyyyyyy,Felicidade,00:00:00.000,00:00:08.150,sounds/Felicidade/Yayyyyyyy.mp3,,-3.8
Yayyyyyyy - part 1,Felicidade,00:00:00.000,00:00:02.038,sounds/Felicidade/Yayyyyyyy.mp3,Yayyyyyyy,-3.8
Yayyyyyyy - part 2,Felicidade,00:00:02.038,00:00:04.075,sounds/Felicidade/Yayyyyyyy.mp3,Yayyyyyyy,-3.8
Yayyyyyyy - part 3,Felicidade,00:00:04.075,00:00:06.113,sounds/Felicidade/Yayyyyyyy.mp3,Yayyyyyyy,-3.8
Yayyyyyyy - part 4,Felicidade,00:00:06.113,00:00:08.150,sounds/Felicidade/Yayyyyyyy.mp3,Yayyyyyyy,-3.8
Yee ha,Felicidade,00:00:00.000,00:00:02.483,sounds/Felicidade/Yee ha.mp3,,-12.0
Ai Pai Para,Memes,00:00:00.000,00:00:03.423,sounds/Memes/Ai Pai Para.mp3,,-3.3
Ai Pai Para - word 1,Memes,00:00:00.060,00:00:00.360,sounds/Memes/Ai Pai Para.mp3,Ai Pai Para,-3.2
Ai Pai Para - word 2,Memes,00:00:00.420,00:00:01.760,sounds/Memes/Ai Pai Para.mp3,Ai Pai Para,-3.3
Ai Pai Para - word 3,Memes,00:00:01.840,00:00:03.420,sounds/Memes/Ai Pai Para.mp3,Ai Pai Para,-3.3
Bolinha De Golfe,Memes,00:00:00.000,00:00:01.335,sounds/Memes/Bolinha De Golfe.mp3,,7.5
Bolinha De Golfe - part 1,Memes,00:00:00.000,00:00:00.334,sounds/Memes/Bolinha De Golfe.mp3,Bolinha De Golfe,7.5
Bolinha De Golfe - part 2,Memes,00:00:00.334,00:00:00.667,sounds/Memes/Bolinha De Golfe.mp3,Bolinha De Golfe,7.5
Bolinha De Golfe - part 3,Memes,00:00:00.667,00:00:01.001,sounds/Memes/Bolinha De Golfe.mp3,Bolinha De Golfe,7.5
Bolinha De Golfe - part 4,Memes,00:00:01.001,00:00:01.335,sounds/Memes/Bolinha De Golfe.mp3,Bolinha De Golfe,7.5
Bolsonaro - Pegaram meu telefone,Memes,00:00:00.000,00:00:04.574,sounds/Memes/Bolsonaro - Pegaram meu telefone.mp3,,-0.7
Bolsonaro - Pegaram meu telefone - word 1,Memes,00:00:00.660,00:00:03.040,sounds/Memes/Bolsonaro - Pegaram meu telefone.mp3,Bolsonaro - Pegaram meu telefone,-0.7
Bolsonaro - Pegaram meu telefone - word 2,Memes,00:00:03.220,00:00:04.574,sounds/Memes/Bolsonaro - Pegaram meu telefone.mp3,Bolsonaro - Pegaram meu telefone,-0.7
Bom Dia Hadouken,Memes,00:00:00.000,00:00:07.711,sounds/Memes/Bom Dia Hadouken.mp3,,-7.4
Bom Dia Hadouken - part 1,Memes,00:00:00.000,00:00:01.928,sounds/Memes/Bom Dia Hadouken.mp3,Bom Dia Hadouken,-6.2
Bom Dia Hadouken - part 2,Memes,00:00:01.928,00:00:03.856,sounds/Memes/Bom Dia Hadouken.mp3,Bom Dia Hadouken,-7.1
Bom Dia Hadouken - part 3,Memes,00:00:03.856,00:00:05.783,sounds/Memes/Bom Dia Hadouken.mp3,Bom Dia Hadouken,-7.4
Bom Dia Hadouken - part 4,Memes,00:00:05.783,00:00:07.711,sounds/Memes/Bom Dia Hadouken.mp3,Bom Dia Hadouken,-7.4
Dragonoyd - Vetorial,Memes,00:00:00.000,00:00:04.018,sounds/Memes/Dragonoyd - Vetorial.mp3,,2.1
Eae Mane Cade O Pix,Memes,00:00:00.000,00:00:06.504,sounds/Memes/Eae Mane Cade O Pix.mp3,,-12.0
Eae Mane Cade O Pix - part 1,Memes,00:00:00.000,00:00:01.626,sounds/Memes/Eae Mane Cade O Pix.mp3,Eae Mane Cade O Pix,-12.0
Eae Mane Cade O Pix - part 2,Memes,00:00:01.626,00:00:03.252,sounds/Memes/Eae Mane Cade O Pix.mp3,Eae Mane Cade O Pix,-12.0
Eae Mane Cade O Pix - part 3,Memes,00:00:03.252,00:00:04.878,sounds/Memes/Eae Mane Cade O Pix.mp3,Eae Mane Cade O Pix,-12.0
Eae Mane Cade O Pix - part 4,Memes,00:00:04.878,00:00:06.504,sounds/Memes/Eae Mane Cade O Pix.mp3,Eae Mane Cade O Pix,-12.0
Ele Gosta,Memes,00:00:00.000,00:00:01.846,sounds/Memes/Ele Gosta.mp3,,9.2
Ele Gosta - part 1,Memes,00:00:00.000,00:00:00.462,sounds/Memes/Ele Gosta.mp3,Ele Gosta,9.2
Ele Gosta - part 2,Memes,00:00:00.462,00:00:00.923,sounds/Memes/Ele Gosta.mp3,Ele Gosta,9.2
Ele Gosta - part 3,Memes,00:00:00.923,00:00:01.385,sounds/Memes/Ele Gosta.mp3,Ele Gosta,9.2
Ele Gosta - part 4,Memes,00:00:01.385,00:00:01.846,sounds/Memes/Ele Gosta.mp3,Ele Gosta,9.2
Eu Sou Filosofo Porra,Memes,00:00:00.000,00:00:01.933,sounds/Memes/Eu Sou Filosofo Porra.mp3,,1.8
Eu Sou Filosofo Porra - part 1,Memes,00:00:00.000,00:00:00.483,sounds/Memes/Eu Sou Filosofo Porra.mp3,Eu Sou Filosofo Porra,1.8
Eu Sou Filosofo Porra - part 2,Memes,00:00:00.483,00:00:00.967,sounds/Memes/Eu Sou Filosofo Porra.mp3,Eu Sou Filosofo Porra,1.8
Eu Sou Filosofo Porra - part 3,Memes,00:00:00.967,00:00:01.450,sounds/Memes/Eu Sou Filosofo Porra.mp3,Eu Sou Filosofo Porra,1.8
Eu Sou Filosofo Porra - part 4,Memes,00:00:01.450,00:00:01.933,sounds/Memes/Eu Sou Filosofo Porra.mp3,Eu Sou Filosofo Porra,1.8
Faustão - Vc Destriui Meu Ovo,Memes,00:00:00.000,00:00:01.921,sounds/Memes/Faustão - Vc Destriui Meu Ovo.mp3,,-5.3
Faustão - Vc Destriui Meu Ovo - part 1,Memes,00:00:00.000,00:00:00.480,sounds/Memes/Faustão - Vc Destriui Meu Ovo.mp3,Faustão - Vc Destriui Meu Ovo,-5.3
Faustão - Vc Destriui Meu Ovo - part 2,Memes,00:00:00.480,00:00:00.961,sounds/Memes/Faustão - Vc Destriui Meu Ovo.mp3,Faustão - Vc Destriui Meu Ovo,-5.3
Faustão - Vc Destriui Meu Ovo - part 3,Memes,00:00:00.961,00:00:01.441,sounds/Memes/Faustão - Vc Destriui Meu Ovo.mp3,Faustão - Vc Destriui Meu Ovo,-5.3
Faustão - Vc Destriui Meu Ovo - part 4,Memes,00:00:01.441,00:00:01.921,sounds/Memes/Faustão - Vc Destriui Meu Ovo.mp3,Faustão - Vc Destriui Meu Ovo,-5.3
Ill Be Back,Memes,00:00:00.000,00:00:03.088,sounds/Memes/Ill Be Back.mp3,,5.7
Ja Usou Droga Hoje Né Noia?,Memes,00:00:00.000,00:00:04.963,sounds/Memes/Ja Usou Droga Hoje Né Noia?.mp3,,-9.3
Ja Usou Droga Hoje Né Noia? - word 1,Memes,00:00:00.040,00:00:02.540,sounds/Memes/Ja Usou Droga Hoje Né Noia?.mp3,Ja Usou Droga Hoje Né Noia?,-9.3
Ja Usou Droga Hoje Né Noia? - word 2,Memes,00:00:03.080,00:00:04.800,sounds/Memes/Ja Usou Droga Hoje Né Noia?.mp3,Ja Usou Droga Hoje Né Noia?,-9.3
James Eu Quero Uma Salada De Fruta,Memes,00:00:00.000,00:00:02.429,sounds/Memes/James Eu Quero Uma Salada De Fruta.mp3,,-9.4
MegaFunk - Especial Lagartixas Tetraplegicas,Memes,00:00:00.000,00:00:14.118,sounds/Memes/MegaFunk - Especial Lagartixas Tetraplegicas.mp3,,-7.0
MegaFunk - Especial Lagartixas Tetraplegicas - part 1,Memes,00:00:00.000,00:00:03.530,sounds/Memes/MegaFunk - Especial Lagartixas Tetraplegicas.mp3,MegaFunk - Especial Lagartixas Tetraplegicas,-6.6
MegaFunk - Especial Lagartixas Tetraplegicas - part 2,Memes,00:00:03.530,00:00:07.059,sounds/Memes/MegaFunk - Especial Lagartixas Tetraplegicas.mp3,MegaFunk - Especial Lagartixas Tetraplegicas,-7.1
MegaFunk - Especial Lagartixas Tetraplegicas - part 3,Memes,00:00:07.059,00:00:10.588,sounds/Memes/MegaFunk - Especial Lagartixas Tetraplegicas.mp3,MegaFunk - Especial Lagartixas Tetraplegicas,-7.2
MegaFunk - Especial Lagartixas Tetraplegicas - part 4,Memes,00:00:10.588,00:00:14.118,sounds/Memes/MegaFunk - Especial Lagartixas Tetraplegicas.mp3,MegaFunk - Especial Lagartixas Tetraplegicas,-7.0
MegaFunk - Especial Polenta E Droga,Memes,00:00:00.000,00:00:16.535,sounds/Memes/MegaFunk - Especial Polenta E Droga.mp3,,-2.6
MegaFunk - Especial Polenta E Droga - part 1,Memes,00:00:00.000,00:00:04.134,sounds/Memes/MegaFunk - Especial Polenta E Droga.mp3,MegaFunk - Especial Polenta E Droga,1.3
MegaFunk - Especial Polenta E Droga - part 2,Memes,00:00:04.134,00:00:08.268,sounds/Memes/MegaFunk - Especial Polenta E Droga.mp3,MegaFunk - Especial Polenta E Droga,-0.7
MegaFunk - Especial Polenta E Droga - part 3,Memes,00:00:08.268,00:00:12.401,sounds/Memes/MegaFunk - Especial Polenta E Droga.mp3,MegaFunk - Especial Polenta E Droga,-2.2
MegaFunk - Especial Polenta E Droga - part 4,Memes,00:00:12.401,00:00:16.535,sounds/Memes/MegaFunk - Especial Polenta E Droga.mp3,MegaFunk - Especial Polenta E Droga,-2.6
MegaFunk - Quem Tem Controle E Tv,Memes,00:00:00.000,00:00:09.009,sounds/Memes/MegaFunk - Quem Tem Controle E Tv.mp3,,-3.9
MegaFunk - Quem Tem Controle E Tv - part 1,Memes,00:00:00.000,00:00:02.252,sounds/Memes/MegaFunk - Quem Tem Controle E Tv.mp3,MegaFunk - Quem Tem Controle E Tv,-4.2
MegaFunk - Quem Tem Controle E Tv - part 2,Memes,00:00:02.252,00:00:04.505,sounds/Memes/MegaFunk - Quem Tem Controle E Tv.mp3,MegaFunk - Quem Tem Controle E Tv,-4.1
MegaFunk - Quem Tem Controle E Tv - part 3,Memes,00:00:04.505,00:00:06.757,sounds/Memes/MegaFunk - Quem Tem Controle E Tv.mp3,MegaFunk - Quem Tem Controle E Tv,-3.9
MegaFunk - Quem Tem Controle E Tv - part 4,Memes,00:00:06.757,00:00:09.009,sounds/Memes/MegaFunk - Quem Tem Controle E Tv.mp3,MegaFunk - Quem Tem Controle E Tv,-3.9
Musica - To Be Continued,Memes,00:00:00.000,00:00:10.920,sounds/Memes/Musica - To Be Continued.mp3,,2.1
Musica - To Be Continued - part 1,Memes,00:00:00.000,00:00:02.730,sounds/Memes/Musica - To Be Continued.mp3,Musica - To Be Continued,3.6
Musica - To Be Continued - part 2,Memes,00:00:02.730,00:00:05.460,sounds/Memes/Musica - To Be Continued.mp3,Musica - To Be Continued,2.0
Musica - To Be Continued - part 3,Memes,00:00:05.460,00:00:08.190,sounds/Memes/Musica - To Be Continued.mp3,Musica - To Be Continued,2.1
Musica - To Be Continued - part 4,Memes,00:00:08.190,00:00:10.920,sounds/Memes/Musica - To Be Continued.mp3,Musica - To Be Continued,2.1
No Its Necessary,Memes,00:00:00.000,00:00:04.130,sounds/Memes/No Its Necessary.mp3,,9.4
Oi Meu Chapa,Memes,00:00:00.000,00:00:01.489,sounds/Memes/Oi Meu Chapa.mp3,,-6.2
Oi Meu Chapa - part 1,Memes,00:00:00.000,00:00:00.372,sounds/Memes/Oi Meu Chapa.mp3,Oi Meu Chapa,-6.2
Oi Meu Chapa - part 2,Memes,00:00:00.372,00:00:00.745,sounds/Memes/Oi Meu Chapa.mp3,Oi Meu Chapa,-6.2
Oi Meu Chapa - part 3,Memes,00:00:00.745,00:00:01.117,sounds/Memes/Oi Meu Chapa.mp3,Oi Meu Chapa,-6.2
Oi Meu Chapa - part 4,Memes,00:00:01.117,00:00:01.489,sounds/Memes/Oi Meu Chapa.mp3,Oi Meu Chapa,-6.2
Piton - filosofo,Memes,00:00:00.000,00:00:12.251,sounds/Memes/Piton - filosofo.mp3,,7.0
Piton - filosofo - part 1,Memes,00:00:00.000,00:00:03.063,sounds/Memes/Piton - filosofo.mp3,Piton - filosofo,6.4
Piton - filosofo - part 2,Memes,00:00:03.063,00:00:06.125,sounds/Memes/Piton - filosofo.mp3,Piton - filosofo,6.3
Piton - filosofo - part 3,Memes,00:00:06.125,00:00:09.188,sounds/Memes/Piton - filosofo.mp3,Piton - filosofo,6.7
Piton - filosofo - part 4,Memes,00:00:09.188,00:00:12.251,sounds/Memes/Piton - filosofo.mp3,Piton - filosofo,7.0
